field,head,article,
경제,감리위 ‘삼바 분식회계 의혹’ 첫 심의,"삼성바이오로직스의 ‘분식회계’ 의혹을 규명하는 금융당국의 심의절차가 시작됐다.17일 정부서울청사에서 감리위원회 위원 8명과 금융감독원 관계자, 김태한 삼성바이오로직스 사장 등 관계자가 참석한 가운데 삼성바이오로직스 회계 관련 첫 회의가 열렸다.이날 김학수 감리위원장(증권선물위원회 상임위원)은 모두발언으로 “대외 누설에 책임이 있는 위원을 해촉시킬 수도 있으며 미공개정보 노출 때는 처벌을 받을 수 있다”며 주요 안건과 심의내용을 엄중하게 취급해야 한다고 강조한 것으로 전해졌다. 외부감사법에 따르면 비밀엄수 규정을 위반할 경우 제재대상이 될 수 있으며, 자본시장법상 금지하고 있는 시장질서 교란행위에 해당할 수 있다고 금융위원회는 설명했다.김태한 삼성바이오로직스 대표이사가 17일 오후 정부서울청사 금융위원회에서 열린 감리위원회에 참석하고 있다.회의는 규정에 따라 비공개로 열렸으며, 참석자의 휴대전화기도 수거해 별도의 장소에 보관하는 등 보안을 유지한 상태로 진행됐다.감리위는 이날 금감원의 안건보고와 회사 측의 의견 진술을 차례로 청취했다. 양측이 동석해 재판처럼 진행하는 대심제는 이날 적용하기에는 시간이 부족해 다음 회의 때 적용하기로 했다.김 사장은 감리위 참석 전 “의구심이 남아 있는 부분은 모두 투명하게 밝힐 것”이라며 “최선을 다해 진실을 밝혀 명예를 회복하겠다”고 강조했다. 그는 “상장 당시 금감원 등 여러 기관에서 검증을 받은 내용을 2018년에 다시 조사하는 충격스러운 상황”이라며 “관련 팩트가 변한 것은 없다”고 말했다. 또 “감리위와 증권선물위원회에서 결론을 내기 전인데 분식회계라고 언론에 공개한 데 대해서는 책임을 물을 것”이라고 불만을 드러냈다.감리위는 회계 전문가들이 모여 제재 여부와 수위를 심의하는 증선위 자문기구이며, 제재 조치는 증선위에서 최종 결정한다. 금융위는 가급적 이달 내로 감리위 논의를 마무리하고 다음달 7일 증선위에 상정할 수 있도록 한다는 계획이다.이런 가운데 감리위 위원들에 대한 공정성 시비가 계속되면서 향후 불복 등의 논란이 이어질 것이라는 우려도 나오고 있다. 최근 참여연대는 김 위원장이 금융위 자본시장국장 재직 당시 삼성바이오로직스 상장을 위해 한국거래소 상장 규정 개정을 주도해 감리위에서 배제해야 한다고 요구했다. 또한 금감원 회계책임자인 박권추 회계전문심의위원도 당연직 위원으로 참여해 금감원과 회사 양측의 주장을 객관적으로 판단해야 하는 상황이다.백소용·정필재 기자 swinia@segye.com",
경제,[뉴스 투데이] 해상도 10배 … 드론으로 순식간에 ‘3차원 모델링’ 구현,"고정익(날개가 회전하지 않는 형태) 드론 1대가 약 3분간 서울 강서구 마곡지구 일대를 돌더니 연속 촬영한 사진을 보내왔다. 이에 그치지 않고 드론은 곧장 ‘스마트 입체도시 모델’을 만들어냈다. 3차원 모델링 구현이 순식간에 이뤄진 것이다. 기존 방식의 항공기 촬영 대비 해상도는 10배, 위치·사물 정확도도 3배가량 높다. 소요시간은 절반 수준으로 단축됐다.17일 서울 강서구 마곡 연구개발(R&D) 단지에서 열린 ‘2018년 대한민국 혁신성장 보고대회’에서는 드론과 수소버스 등 미래산업 혁신 기술의 성과가 공개됐다. 문재인정부 경제정책의 양대 축 가운데 하나인 ‘혁신성장’의 현황을 점검하는 자리다. 문재인 대통령이 17일 서울 강서구 마곡지구 연구개발(R&D)단지에서 열린 2018년 대한민국 혁신성장 보고대회에서 5G를 이용한 동작인식 기계를 체험하고 있다. 이날 보고대회에서는 드론과 수소버스 등 미래산업 혁신 기술의 성과가 공개됐다. 문 대통령 오른쪽은 이낙연 국무총리다. 이제원 기자 드론이 배달한 커피 문재인 대통령이 17일 서울 강서구 마곡 연구개발(R&D)단지에서 열린 2018년 대한민국 혁신성장 보고대회에 참석해 드론이 배달한 커피를 받아 들고 있다. 이날 보고대회에서는 드론 등 미래산업 혁신 기술의 성과가 공개됐다. 문 대통령 오른쪽은 더불어민주당 추미애 대표.이제원 기자혁신 기술 성과를 보고하기 위한 드론 시연에서는 3차원 공간정보 구축, 시설물 점검, 대기환경 모니터링 등을 기존 방식에 비해 효율적으로 해내는 모습을 보여줬다. 이어 수소차의 미세먼지 저감효과도 시연됐다. 수소버스 흡입구에 성인 남성이 200년간 마실 분량의 미세먼지(30g)가 담긴 풍선을 연결하자 수소버스 필터 등을 통해 미세먼지가 걸러진 깨끗한 공기가 배기구로 나왔다. 수소버스 1대가 1㎞ 달릴 때마다 4.86㎏, 연간 41만8218㎏의 공기를 정화할 수 있다고 한다. 이는 성인 76명이 1년간 마실 수 있는 공기다.국토교통부와 산업통상자원부는 스마트시티와 드론 산업을 전폭적으로 지원하겠다는 청사진을 내놨다. 정부는 스마트시티의 핵심인 데이터 기반의 지능형 도시 운영, 교통·에너지·환경 등 각종 데이터의 연계 활용을 통한 시민체감형 서비스 개발 등을 주요 내용으로 하는 실증형 연구개발 사업을 추진하기로 했다.드론산업 육성을 위해서는 공공수요를 발굴하고 시범·실증 지원 및 규제혁신 등에 집중한다. 2021년까지 4000여대의 드론이 국토교통과 경찰, 산림, 전력설비 등 다양한 공공분야에 도입돼 활용된다. 민간 분야에서는 물류용으로 우편배송과 해상선박 물품배송에, 농업용으로는 기존 농약살포 업무에서 인공수분 및 광대역 배추 생산·출하량 조사 등으로 확대 활용하기 위한 시범사업이 진행되고 있다.정부는 현재 추진 중인 정책적 노력에 힘입어 국내 시장이 급속히 커지고 있다고 진단했다. 지난해 연말 대비 올 3월 드론 신고 대수는 17%(3849→4514대), 자격증명자 수는 36%(4254→5777명) 증가했다. 특히 드론 제작·운용 등 관련분야에서 작년에만 약 1000여개의 일자리가 창출된 것으로 분석된다.미래차 산업 육성도 순조롭게 진행되고 있다고 평가했다. 국내 전기차 판매가 2016년 5914대, 2017년 1만3826대, 2018년 3만대(예약 포함) 수준으로 매년 2배 이상 증가한 점에 주목했다. 산업부는 “올해 처음으로 수요가 정부의 구매보조금 예산을 초과할 정도로 전기차가 본격적인 확산기에 접어들고 있다”고 밝혔다. 이러한 흐름에 발맞춰 지난 2월 발표한 미래차 혁신성장을 차질 없이 추진한다는 방침이다. 일부 지자체를 시범도시로 선정, 버스와 트럭 등을 2030년까지 100% 전기차와 수소차로 전환하는 ‘대중교통 전기차 전환 프로젝트’ 등에 박차를 가할 예정이다.기획재정부는 지난 1년 동안 창업 등 혁신성장의 토대는 잘 마련했지만 가시적 성과는 미흡했다고 평가했다. 기재부에 따르면 지난해 신설 법인 수는 9만8000개로 통계 집계 이후 최고치를 기록했다. 지난 1월에만 새로 생긴 법인이 1만개를 돌파하기도 했다.정지혜·김선영 기자, 세종=안용성 기자",
경제,"‘LG家 4세’ 구광모, 등기이사로 … “후계 대비”","구본무 LG그룹 회장의 장남인 구광모(40·사진) LG전자 B2B사업본부 정보디스플레이(ID) 사업부장(상무)이 그룹 지주사인 ㈜LG의 등기이사에 오른다. 이에 따라 LG그룹은 와병 중인 구 회장의 뒤를 이어 구 상무 중심의 ‘LG가(家) 4세’ 경영 체제로 빠르게 전환될 것으로 보인다.㈜LG는 17일 오전 이사회를 열어 구 상무를 등기이사로 추천하는 안건을 의결했다. LG는 다음달 29일 서울 여의도 LG트윈타워에서 임시 주주총회를 개최해 이를 확정할 방침이다. LG그룹은 이날 이례적으로 자료를 통해 구 상무로 후계구도가 확립되는 차원이라는 점을 분명히 했다. LG는 자료에서 “구 회장이 와병으로 ㈜LG 이사회에서 역할을 수행하는 데 제약이 있는 관계로 주주 대표 일원이 이사회에 추가로 참여하는 것이 필요하다는 논의가 이사회에서 있었던 데 따른 조치”라면서 “이는 또한 후계구도를 사전 대비하는 일환이기도 하다”고 설명했다.1978년생인 구 상무는 LG그룹의 모태인 ‘락희화학공업’ 창업자인 고 구인회 회장의 증손자다. 구 상무는 원래 구 회장 동생인 구본능 희성전자 회장의 아들인데 LG가의 ‘장자 승계 원칙’을 위해 구 회장이 2004년 양아들로 입적했다. 현재 그는 ㈜LG 지분 6.24%를 보유, 구 회장(11.28%)과 구본준 부회장(7.72%)에 이어 3대 주주다.한편 구 회장은 서울대병원에 입원해 치료 중이다. 구 회장은 올해 초부터 와병 상태였으며, 통원 치료를 받던 중 최근 들어 상태가 악화하면서 입원한 것으로 전해졌다. 구인회 회장의 손자이자 구자경 LG 명예회장의 장남으로 ‘LG가 3세’인 구 회장은 1995년부터 그룹 회장을 맡았다.이천종 기자 skylee@segye.com",
경제,김동연 “신산업 막는 대표 규제 골라 공론화”,"정부가 혁신성장을 가로막는 대표규제 20∼30개를 선정해 공론화 과정을 거쳐 개선안을 마련하기로 했다. 대표규제 선정과 ‘공론화 플랫폼’ 가동은 6월 지방선거 이후 본격 추진된다. 김동연 부총리 겸 기획재정부 장관은 17일 서울 마곡 연구개발(R&D) 단지에서 열린 ‘2018년 대한민국 혁신성장 보고대회’에서 문재인 대통령에게 이 같은 내용의 혁신성장 성과와 향후 추진계획을 보고했다. 이날 대회에는 문 대통령을 비롯, 이낙연 국무총리와 관계 장관, 기업 대표 등 80여명이 참석했다.김 부총리는 이 자리에서 “항공모함 비행갑판의 활주로 밑에서 전투기를 고속이륙시키는 장치인 핵심기술 캐터펄트처럼, 혁신성장은 우리 경제를 이륙시키는 동력”이라고 말했다.정부는 출범 2년 차를 맞아 문재인정부 경제정책인 ‘J노믹스’의 양대 축 가운데 하나인 혁신성장을 본궤도에 올려놓겠다는 계획이다. 이를 위해 특히 규제 혁신에 역점을 두기로 했다. 기재부 관계자는 “신산업·신서비스 창출을 저해하는 대표규제를 엄선하고, 대립하는 이해관계 조정을 위한 공론화 플랫폼을 마련해 해소할 방침”이라고 밝혔다.문 대통령은 “혁신성장의 걸림돌인 규제를 혁신하는 데 더 속도를 내야 한다”며 “법 개정과 법 개정 지침을 통해 허용 가능한 규제는 과감히 풀어주라”고 말했다. 문 대통령은 특히 “규제 샌드박스 관련 법 개정안을 통과시키는 데 당·정·청이 더 힘을 써달라”고 당부했다. 정부는 이 같은 규제 혁신을 통해 2022년까지 8대 핵심 선도사업에서 일자리 약 30만개를 창출한다는 계획이다.세종=안용성 기자, 박성준 기자",
경제,GM도 한국서 ‘다카타 에어백’ 장착 차량 리콜 결정,"국토교통부는 최근 한국GM과 GM코리아가 폭발 위험이 제기된 ‘다카타 에어백’ 장착 자동차에 대해 자발적 리콜을 결정했다고 17일 밝혔다.국토부 관계자는 “본사 임원면담 등을 통해 리콜을 강력히 요구했으며 그 결과 한국GM 및 GM코리아가 리콜을 하기로 결정했다”고 말했다. 국토교통부 제공다카타에어백은 에어백이 터질때 인플레이터(팽창장치)의 과도한 폭발압력으로 발생한 금속 파편이 운전자를 다치게 할 가능성이 있다. 다카타에어백을 장착한 차량에서의 국내 피해사례는 아직 없으나 미국 등에서 운전자 17명이 사망하고 수백명이 부상을 입었다. 미국에서만 2016년 6월까지 6900만개가 넘는 다카타에어백이 교체됐다.2016년 6월 국토부는 다카타에어백 장착 자동차 제작사들에게 리콜을 요구했다. 대부분의 업체가 자발적으로 국내리콜을 결정했으나 한국GM 및 GM코리아는 자사 차량의 위험성이 아직 밝혀지지 않았고 해외에서도 피해사례가 없다는 이유로 국내 리콜 여부에 대해 유보적 입장을 표명해 왔다. 그러나 GM코리아는 국토부와의 수차례 면담후 리콜을 하게 됐다.개선된 에어백이 확보된 사브 712대에 대한 시정계획서를 제출했고 해당 차량은 28일부터 GM코리아 서비스센터에서 무상으로 에어백 교체를 받을 수 있다.개선된 에어백이 아직 확보되지 않은 GM코리아에서 수입·판매한 캐딜락, 한국GM에서 제작·판매한 라세티 프리미어 등 5개 차종은 개선된 에어백이 확보되는 대로 단계적으로 리콜을 실시한다는 리콜 시정계획서를 제출했다.한편 기존에 국내리콜을 결정했던 포드세일즈서비스코리아에서 수입·판매한 다카타에어백 장착 1개 차종(무스탕) 316대는 개선된 에어백 부품이 확보돼 오는 18일부터 포드세일즈서비스코리아 서비스센터에서 무상 교체를 받을 수 있다.이번 리콜과 관련해 해당 제작사는 차량 소유자에게 우편 및 휴대전화 문자메시지로 시정방법 등을 알리게 된다. 리콜 시행 전 차량 소유자가 자비를 들여 수리한 경우 제작사에 보상을 신청할 수 있다.기타 궁금한 사항은 GM코리아 및 한국GM, 포드세일즈서비스코리아로 문의하면 된다.김선영 기자 007@segye.com",
경제,"국토부 산하 10개 공공기관, 불공정 약관 수두룩","국토교통부는 17일 산하 공공기관과 합동으로 임대차 계약의 불공정 여부를 자체 검토하고서 불공정 여지가 확인된 약관을 전면 개정하기로 했다고 밝혔다.한국토지주택공사(LH)와 한국국토정보공사(LX) 등 국토교통부 산하 10개 공공기관이 국토부 점검 결과 임대차 계약과 관련해 불공정 약관을 운영해온 것으로 파악됐다. 앞서 3월 공정거래위원회가 인천국제공항공사, 한국공항공사, SR, 코레일유통 4개 기관의 임대차 계약서를 검토해 13건의 불공정 약관에 대한 시정조치를 하자 국토부는 나머지 11개 기관에 대해 자체 검토를 벌였다. 점검 결과 산하 공공기관들이 운영하는 임대차 관련 약관에는 불공정 소지가 다분한 내용이 수두룩한 것으로 드러났다.‘약관의 규제에 관한 법률’, ‘상가건물 임대차보호법’, ‘민법’ 등 관계 법령에 따라 10개 기관의 62개 유형의 약관이 불공정 여지가 있는 것으로 확인돼 개선이 추진된다.LH의 임대차 계약서에는 ‘임차인이 정해진 기한까지 명도를 이행하지 않으면 통상 임대료·관리비·연체료 등의 2배를 임대인에게 지급해야 한다’는 조항이 있는 것으로 나타났다. 국토부는 임차인에게 실제 발생한 손해 범위를 넘어서는 과도한 손해배상 의무를 부과하고 있다고 보고 임대료·관리비·연체료에 해당하는 금액만큼만 지급하도록 했다.LX의 경우에는 임차인이 명도를 불이행하거나 임대료·공과금 등을 체납하는 경우 임대인이 단전·단수하거나 출입문을 폐쇄할 수 있다는 조항이 있는 것으로 확인됐다. 국토부는 약정 기간이 만료했는지, 임대차 보증금이 남아 있는지 등을 고려하지 않고 단전, 단수 등을 하는 것은 부당한 조항이라고 보고 삭제하도록 했다.한국수자원공사는 과도한 임대시설 유지보수 비용을 부담하고 비용상환 청구권은 배제했고, 한국도로공사는 상가임대차보호법에 없는 해지권을 임대인에게 부여한 것으로 나타나 시정조치됐다.김재정 국토부 기획조정실장은 “불공정 약관에 대한 국토부와 산하 공공기관의 자체 시정이 우리 사회의 공정한 거래 질서 확립에 공공부문이 솔선수범하는 계기가 될 것으로 기대한다”고 말했다.김선영 기자 007@segye.com",
경제,"야마하뮤직코리아, AV리시버 신제품 ‘RX-V385’ 출시… 4K 울트라 HD 완벽지원","세계적인 악기 음향 전문기업 야마하뮤직코리아㈜(대표: 카네다 히데오)가 5.1채널 AV리시버 신제품 ‘RX-V385’를 16일 국내에 출시한다고 밝혔다.새롭게 선보인 RX-V385는 4K 울트라 HD 영상 소스를 화질 저하 없이 감상할 수 있다는 것이 차별화된 특징이다. 돌비 비전(Dolby Vision™), HLG(Hybrid Log-Gamma)를 포함한 HDR(High Dynamic Range) 비디오를 지원해 생동감 넘치는 컬러와 선명한 디테일의 화질을 선사한다.또한 AV리시버 RX-V385는 384kHz/32bit D/A 컨버터를 채용, 검증된 소리의 기본 성능을 더욱 높여 눈길을 끈다. 야마하의 독자적인 시네마 DSP 기술을 탑재해 현장감 넘치는 사운드 이미징을 누릴 수 있는 점도 강점이다. 아울러 YPAO™를 통해 공간의 특성에 맞게 음향을 자동으로 조정하여 시청 환경에 최적화된 사운드를 구현하기도 했다.고역 및 저역을 각각의 독립적인 앰프로 구동할 수 있는 바이앰프 기능을 통해 고음과 저음의 간섭을 방지하여 프런트 스피커의 음질을 향상시킨 점도 돋보인다.이번 신제품은 블루투스를 지원하여 스마트 기기를 사용해 무선으로 쉽고 편리하게 음악을 재생할 수 있으며, 야마하만의 뮤직 인핸서 기능으로 압축된 음원을 손실 없이 더 풍부하게 감상할 수 있다.야마하뮤직코리아 AV 영업팀 전준근 팀장은 “이번 리시버 신제품은 4K 울트라 HD 지원과 384kHz/32bit D/A 컨버터 채용으로 사실적이면서 자연스러운 영상과 사운드를 자랑한다.""고 말했다. 이어 ""RX-V385는 고품질의 영상 및 음향 콘텐츠를 누릴 수 있어 리시버 입문자를 위한 필수 제품으로 각광받을 수 있을 것”이라고 전했다.한편 신제품 출시를 기념해 RX-V385를 구매하는 고객에게 Premium HDMI Cable Certification Program 인증 HDMI 케이블을 증정하는 사은품 행사가 6월 말까지?진행된다.RX-V385는 전국 야마하 공식 대리점에서 구매할 수 있다. 제품에 대한 자세한 정보는 야마하뮤직코리아 공식 홈페이지에서 확인 가능하다.김정환 기자 hwani89@segye.com",
경제,미래차·드론으로 혁신성장 이륙…2022년 일자리 30만개 만든다,"문재인 정부 경제정책의 양대 축 가운데 하나인 '혁신성장'이 출범 2년차를 맞아 본궤도에 오른다.미래차와 드론 등 8대 핵심 선도사업을 통해 2022년까지 일자리 30만개를 만드는 게 목표다.김동연 부총리 겸 기획재정부 장관은 17일 서울 마곡 연구개발(R&D) 단지에서 열린 '2018년 대한민국 혁신성장 보고대회'에서 문재인 대통령 등에게 이런 내용의 혁신성장 성과와 향후 추진계획을 보고했다.이날 대회에는 문 대통령을 비롯, 이낙연 국무총리와 관계장관, 장하성 청와대 정책실장과 기업 대표들이 참석했다.김 부총리는 이날 보고에서 지난 1년간 혁신성장의 싹을 틔운 결과, 올해 1분기 신설법인 수가 2만6천747개로 사상 최고치를 기록했고 신규 벤처투자가 6천348억원으로 전년동기 대비 5.7% 증가했으며 코스닥지수가 32.2% 상승했다고 설명했다.또 미래차의 경우 전기·수소차 구매보조금 확대, 규제개선 등으로 시장규모가 매년 2배 이상 성장하고 있는 가운데 현대차[005380] 등 주요기업은 미래차 분야에 향후 5년간 34조2천억원을 투자하고 연내에 3천500명을 고용할 계획이라고 보고했다.다만, 핵심분야의 규제혁신 등 현장에서 체감할 수 있는 성과가 부족하고 노동시장에 낡은 제도가 남아 인적자본의 이동이 저해되며 고용불안 등에 대비한 사회안전망이 부족하다는 게 미흡한 점으로 평가됐다.정부는 앞으로 혁신성장이 본궤도에 오를 수 있도록 초연결 지능화, 스마트공장, 스마트팜, 핀테크, 에너지신산업, 스마트시티, 드론, 미래자동차 등 미래먹거리가 될 8대 핵심선도사업에 투자지원을 강화하고, 창업을 대대적으로 지원해 신설법인수를 지난해 10만개에서 올해 12만개로 확대한다.정부는 또 공유경제와 개인정보보호, 원격의료 관련 규제 등 신산업과 신서비스 창출을 저해하는 20∼30개 대표규제를 혁신할 계획이다. 이 과정에서 사회적 공론화 플랫폼을 마련, 대립되는 이해관계를 조정한다.또 실업급여 등 사회안전망을 먼저 강화하되 이후 탄력근무나 고용형태 다양화 등을 통해 노동시장의 유연성을 확대하는 방향으로 노동시장의 구조개선도 추진할 계획이다.아울러 원칙에 따른 한계기업 구조조정을 지속하되, 그동안 미흡했던 기존 철강이나 반도체 등 주력산업에 대해서는 경쟁력을 높이는 방안도 마련할 계획이다.혁신성장도 궁극적인 목표는 결국 일자리다.정부는 2022년까지 스마트공장 2만개 보급으로 일자리 7만5천개, 에너지신산업 분야 15만개, 드론 연관 분야 신산업 4만4천개, 미래자동차 1만8천개, 스마트시티 3천개, 스마트팜 4천개 등 약 30만개의 일자리를 창출한다는 계획이다.",
경제,"이주열 ""대내외 여건 만만치 않아…경제 낙관 어려워""","이주열 한국은행 총재는 ""지난해 이후 우리 경제가 비교적 견실한 성장세를 지속해오고 있지만 대내외 여건이 만만치 않아 앞으로 경제 상황을 낙관하기 어렵다""고 17일 밝혔다. 이 총재는 이날 서울 중구 한은 본부에서 임지원 금통위원 취임식에서 최근 경제 상황을 이렇게 진단했다. 이 총재는 ""대외여건 중에선 주요국 통화정책 정상화, 미·중간 무역갈등 등에 따른 불확실성이 여전히 높은 상황""이라며 ""일부 취약 신흥국의 금융불안이 앞으로 어떻게 진행될지 우려가 크다""고 지적했다. 이어 ""국내로 눈을 돌리면 고용 상황이 좀처럼 개선되지 못해 걱정스럽다""며 ""한은은 경기와 물가와 금융안정을 함께 지켜나가야 하는 어려운 책무를 안고 있다""고 덧붙였다. 이날 취임한 임 위원은 JP모건 수석본부장 출신으로, 함준호 위원 후임으로 이날부터 앞으로 4년간 금통위원 한 자리를 지키게 된다. 해외 투자은행(IB) 출신, 여성이 금통위원이 된 것은 이례적이다. 이 총재는 ""임 위원님의 경력을 고려해보면 금통위원의 직무에 곧바로 적응하는 데 어려움이 없을 것""이라며 ""풍부한 시장에서 경험, 전문성을 지닌 분을 신임 금통위원으로 맞이하게 돼 기쁘게 생각한다""고 임 위원을 환영했다. 이어 ""임 위원님은 개인으로서의 영광과 함께 책임의 막중함 또한 느끼고 있지 않으실까 생각한다""며 ""앞으로 동료 금통위원들과 함께 우리 경제의 발전, 한은과 금통위의 위상 제고에 많은 기여를 해주실 것으로 기대한다""고 덧붙였다.  ? ",
경제,일감몰아주기 규제강화·징벌적 손해배상제 도입해야,"공정거래법 개정 시 일감 몰아주기에 대한 규제를 강화하고 징벌적 손해배상제를 도입하는 등 불공정거래에 대한 처벌을 강화해야 한다는 주장이 제기됐다.중소기업중앙회는 17일 서울 여의도 중소기업중앙회에서 학계, 법조계, 연구계 등이 참가한 가운데 '공정거래법 전면 개편 토론회'를 개최했다.이번 토론회는 공정거래위원회가 올해 말 완료를 목표로 추진하는 공정거래법 전면 개편을 중소기업의 관점에서 논의하기 위해 마련됐다.법무법인 위민 김남근 변호사는 주제 발표에서 ""규제대상 계열사 지분 요건을 상장사의 경우에도 20% 이상으로 강화하는 등 일감 몰아주기 규제의 강화가 필요하다""며 ""불공정거래 행위를 세분화해 각각의 심사방법과 처벌 수준을 정하고 징벌적 손해배상제를 도입하는 등 처벌을 강화해야 한다""고 주장했다.김 변호사는 또 ""중소기업 간 협업으로 혁신을 이룰 수 있는 공동행위가 허용·촉진될 수 있도록 현행 공정거래법 제19조의 예외 인가 제도를 적용 제외 제도로 개정해야 한다""고 제안했다.이어진 종합 토론에서는 위평량 경제개혁연구소 연구위원이 ""친족 기업 일감 몰아주기 규제를 신설하고 전속고발권을 점진적으로 폐지해야 한다""며 ""공정거래법에 징벌적 손해배상제도도 도입해야 할 것""이라고 주문했다.김경만 중기중앙회 경제정책본부장은 ""산업화 시기의 고도성장기를 배경으로 한 현행 공정거래법으로는 재벌개혁·갑질 근절의 시대적 과제를 해결하기 어렵다""며 ""공정거래법 전면 개편을 통해 일감 몰아주기와 불공정거래 행위가 근절되기를 기대한다""고 밝혔다.",
경제,'임차인은 봉?' 국토부 산하 10개 공공기관 불공정 약관 수두룩,"한국토지주택공사(LH)와 한국국토정보공사(LX) 등 국토교통부 산하 10개 공공기관이 국토부 점검 결과 임대차 계약과 관련해 불공정 약관을 운영해온 것으로 파악돼 자체적으로 개정을 추진한다.국토부는 산하 공공기관과 합동으로 임대차 계약의 불공정 여부를 자체 검토하고서 불공정 여지가 확인된 약관을 전면 개정하기로 했다고 17일 밝혔다.앞서 3월 공정거래위원회가 인천국제공항공사, 한국공항공사, SR, 코레일유통 4개 기관의 임대차 계약서를 검토해 13건의 불공정 약관에 대한 시정조치를 하자 국토부는 나머지 11개 기관에 대해 자체 검토를 벌였다.점검 결과 산하 공공기관들이 운영하는 임대차 관련 약관에는 불공정 소지가 다분한 내용이 수두룩한 것으로 드러났다.'약관의 규제에 관한 법률', '상가건물 임대차보호법', '민법' 등 관계 법령에 따라 10개 기관의 62개 유형의 약관이 불공정 여지가 있는 것으로 확인돼 개선이 추진된다.LH의 임대차 계약서에는 '임차인이 정해진 기한까지 명도를 이행하지 않으면 통상 임대료·관리비·연체료 등의 2배를 임대인에게 지급해야 한다'는 조항이 있는 것으로 나타났다.국토부는 임차인에게 실제 발생한 손해 범위를 넘어서는 과도한 손해배상 의무를 부과하고 있다고 보고 임대료·관리비·연체료에 해당하는 금액만큼만 지급하도록 했다.LX의 경우 임차인이 명도를 불이행하거나 임대료·공과금 등을 체납하는 경우 임대인이 단전·단수하거나 출입문을 폐쇄할 수 있다는 조항이 있는 것으로 확인됐다.국토부는 약정 기간이 만료했는지, 임대차 보증금이 남아 있는지 등을 고려하지 않고 단전, 단수 등을 하는 것은 부당한 조항이라고 보고 삭제하도록 했다.LX는 천재지변이나 기타 불가항력에 의한 사유 등으로 임차인에게 손해가 발생한 경우 임차인의 손해배상 및 이의제기 등을 원천적으로 금지하는 조항도 운영하는 것으로 드러나 국토부는 해당 조항을 개정하도록 했다.한국수자원공사는 과도한 임대시설 유지보수 비용을 부담하고 비용상환 청구권은 배제했고, 한국도로공사는 상가임대차보호법에 없는 해지권을 임대인에게 부여한 것으로 나타나 시정조치됐다.김재정 국토부 기획조정실장은 ""불공정 약관에 대한 국토부와 산하 공공기관의 자체 시정이 우리 사회의 공정한 거래 질서 확립에 공공부문이 솔선수범하는 계기가 될 것으로 기대한다""고 말했다.",
경제,"LG 구본무 회장 건강이상…LG 이사회열어 아들 구광모 사내 이사로, 4세 경영 신호탄","우리나라 5대 재벌인 LG그룹 구본무(73·사진) 회장 건강상태가?좋지 않은 것으로 알려졌다.?17일?LG측은?구 회장 건상상태에 대해 ""확인할 수 없는 사안이다""며 극도로 말을 아꼈다. 이런?가운데?LG는 1분기 경영실적 안건을 승인하는 정기 이사회에서 구 회장의 아들 구광모(40) LG전자 상무 를?다음달 29일 임시주총을 열어?사내이사로 선임키로?했다. 구본무 회장(11.28%), 구본준 부회장(7.72%)에 이어?(주)LG 3대 주주인 구 상무가 그룹 지주사인 ㈜LG 등기이사로 선임되면 LG 4세가 경영 전면에 나서게 된다. 구본무 회장은 LG그룹 창업주인 구인회 회장의 손자이자 구자경 LG 명예회장의 장남으로? 1995년부터 그룹 회장을 맡았다.최근에는 건강이 좋지 않아 동생인 구본준 부회장에게 사실상 그룹 경영을 맡기고 치료에 전념해 왔다. 이와 관련해 구 회장은 지난해에 이어 올해 몇 차례 수술을 받았으며 최근 상태가 악화,? 서울의 한? 병원에서 입원치료를 받고 있는 것으로 알려졌다. 박태훈 기자 buckbak@segye.com",
경제,"'전세 18억원' 수협이 마련한 사택이 사위집?…김임권 회장 ""회사 결정에 따랐을 뿐""",수협중앙회가 전세로 18억원에 마련한 김임권 수협중앙회장의 사택이 과하게 높은 보증금과 김 회장의 사위가 집주인인 점으로 논란이다.지난 16일 SBS에 따르면 수협중앙회는 지난해 10월 서울 성동구에 있는 전용면적 136㎡의 한 고급아파트를 전세 18억원에 계약했다.김 회장의 사택으로 사용된 이 아파트는 보증금이 당시 근처에 있던 직전 사택 보증금 7억원보다 11억원이나 높고 집주인이 김 회장의 사위 박모 씨다.박씨는 이 집을 분양받을 때 대출을 받았는데 그 액수는 전세 보증금과 비슷한 18억원이었고 분양 후 현재 이 집 가격은 30억원 안팎까지 상승한 상태다.해양수산부는 이 과정이 배임에 해당하는지에 대해 감사에 들어갔다.수협과 김 회장은 이전 전셋집 주인이 갑자기 집을 비워달라고 했는데 전셋집 구하기 어려워 내부 법률 검토를 거친 뒤 사위와 전세 계약했다고 해명했고 김 회장은 이 계약에 대해 수협 담당자가 절차에 따라 진행했고 자신은 결정에 따랐을 뿐이라고 주장했다.뉴스팀 chunjaehm@segye.com사진=SBS 캡처,
